filename,modality,vocal_channel,emotion,voice_intensity,statement,statement_repetition,actor_gender,mfcc_mean,mfcc_max,mfcc_min,mfcc_median,mfcc_std,mfcc_delta_max,mfcc_delta_min,mfcc_delta_std,mfcc_delta_kurtosis,mfcc_delta2_max,mfcc_delta2_min,mfcc_delta2_std,chroma_min
03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,-13.957471,7.3467345,-40.358376,-13.22983,11.403927,4.2370176,-3.857493,2.0433822,-0.44260535,2.8781326,-3.0195034,1.4046694,0.026985424
03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,-14.089419,8.214594,-38.95073,-13.870247,11.345738,4.1402736,-4.0419555,2.0605865,-0.44286937,2.8743215,-2.9771469,1.4216608,0.019657405
03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,-13.454927,10.036692,-41.981976,-12.556394,12.230715,4.9921236,-4.306596,2.3456218,-0.48118025,2.9326572,-2.8746428,1.3437595,0.024858832
03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,-13.550832,10.230623,-39.49329,-12.681353,12.133699,4.4877,-4.0247993,2.2337537,-0.5252666,2.9443128,-2.9107616,1.4034817,0.03269505
03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,-14.393763,9.301793,-42.401684,-13.5354,11.971065,4.9324636,-4.535771,2.3570085,-0.36547822,3.3818314,-3.2461047,1.4032292,0.01867427
03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,-14.301173,9.745741,-40.263924,-13.673897,11.571401,4.857845,-4.5944076,2.3216016,-0.35575283,2.9356074,-2.8509727,1.2936871,0.024998082
03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,-13.86161,10.055731,-41.762306,-13.131732,12.510918,5.0553675,-4.652072,2.3550656,-0.32571393,3.2138782,-3.0927095,1.3634238,0.016907616
03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,-13.52767,10.236261,-41.351936,-13.0150585,12.04447,4.9188733,-4.1511354,2.2544506,-0.42781472,3.0800166,-2.979575,1.3319441,0.025337994
03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,-13.854451,8.683765,-38.086113,-13.20004,11.118265,4.592031,-4.3591833,2.1656535,-0.26536393,2.8645709,-2.9431236,1.2538846,0.03523589
03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,-14.570686,8.987416,-39.94742,-14.211851,11.395166,4.8172555,-4.778268,2.2704775,-0.4086302,2.812622,-2.9685066,1.266757,0.019348547
03-01-02-02-02-01-01.wav,3,1,2,2,2,1,1,-14.237424,11.106173,-42.297493,-13.726122,12.237186,5.4865775,-5.220714,2.4136817,-0.20674825,3.095611,-3.1238024,1.2934506,0.017901035
03-01-02-02-02-02-01.wav,3,1,2,2,2,2,1,-14.10773,9.222659,-41.981956,-13.398195,11.971807,5.257819,-5.1081505,2.4088128,-0.3182602,3.1189942,-3.1183498,1.3140491,0.026109762
03-01-03-01-01-01-01.wav,3,1,3,1,1,1,1,-14.091762,11.827047,-41.526337,-13.793287,12.473036,4.9578767,-4.519841,2.3752103,-0.29871443,3.4990563,-3.3237786,1.506372,0.015501459
03-01-03-01-01-02-01.wav,3,1,3,1,1,2,1,-13.67647,15.266241,-44.751167,-13.46118,14.266614,4.9882846,-4.7495584,2.2748744,-0.12649791,3.2511532,-3.4726548,1.5035744,0.021822019
03-01-03-01-02-01-01.wav,3,1,3,1,2,1,1,-13.812738,10.617487,-40.665226,-13.278112,12.175122,4.4984226,-4.5209794,2.3501353,-0.595919,3.4226785,-3.351911,1.4587761,0.010929581
03-01-03-01-02-02-01.wav,3,1,3,1,2,2,1,-14.336942,10.61862,-43.819313,-13.796643,12.59227,5.2307286,-5.082897,2.5060353,-0.46272594,3.7002354,-3.4755967,1.530513,0.012944986
03-01-03-02-01-01-01.wav,3,1,3,2,1,1,1,-13.364151,20.714611,-45.143707,-13.703684,14.445084,5.7576323,-5.99099,2.8351662,-0.24232331,3.791427,-4.2492876,1.6872158,0.0056200796
03-01-03-02-01-02-01.wav,3,1,3,2,1,2,1,-12.875255,24.245825,-47.11121,-13.4450865,15.879079,6.6510706,-6.3557677,2.9147947,0.14112504,3.789278,-4.073157,1.6285741,0.0069835386
03-01-03-02-02-01-01.wav,3,1,3,2,2,1,1,-12.945932,19.75285,-45.246437,-13.447133,14.697975,6.429515,-6.5464334,2.92221,-0.09136541,4.122104,-4.1322546,1.7447621,0.0068896622
03-01-03-02-02-02-01.wav,3,1,3,2,2,2,1,-13.640175,18.484934,-47.110798,-13.492047,14.643573,6.513345,-6.39182,2.964774,-0.13895133,4.204788,-4.2107368,1.7269741,0.006617299
03-01-04-01-01-01-01.wav,3,1,4,1,1,1,1,-15.28982,8.822687,-42.54778,-15.100355,11.45766,5.069413,-4.7807717,2.3255825,-0.3303903,3.3942897,-3.2351017,1.405935,0.011133463
03-01-04-01-01-02-01.wav,3,1,4,1,1,2,1,-14.12086,9.759546,-43.019505,-13.367052,11.807958,4.5598564,-4.467263,2.2349944,-0.40113002,3.0299454,-3.2304015,1.410353,0.016746731
03-01-04-01-02-01-01.wav,3,1,4,1,2,1,1,-14.681513,8.279902,-40.442554,-14.218686,11.440917,4.427023,-4.1646957,2.163314,-0.45449084,3.1216605,-2.749081,1.2782357,0.023884928
03-01-04-01-02-02-01.wav,3,1,4,1,2,2,1,-14.196112,9.688062,-42.62919,-13.167689,12.329318,4.9947805,-4.507977,2.3013847,-0.42192286,3.4868171,-3.2677047,1.451002,0.015967289
03-01-04-02-01-01-01.wav,3,1,4,2,1,1,1,-14.545744,8.868619,-42.84516,-14.102742,11.517297,5.1371603,-4.8819847,2.3953426,-0.4636716,3.2774422,-3.1804538,1.4279425,0.012219381
03-01-04-02-01-02-01.wav,3,1,4,2,1,2,1,-15.045143,14.362302,-43.22908,-14.97362,12.81268,5.5009446,-5.506077,2.6472812,-0.32547206,3.3560226,-3.588199,1.4897217,0.007875429
03-01-04-02-02-01-01.wav,3,1,4,2,2,1,1,-14.92245,11.972406,-44.04097,-14.635736,13.080877,5.1774964,-5.612944,2.6742852,-0.36260736,3.6406007,-3.522712,1.5469517,0.012375839
