filename,modality,vocal_channel,emotion,voice_intensity,statement,statement_repetition,actor_gender,mfcc_mean,mfcc_max,mfcc_min,mfcc_median,mfcc_std,mfcc_skew,mfcc_kurtosis,mfcc_delta_mean,mfcc_delta_max,mfcc_delta_min,mfcc_delta_median,mfcc_delta_std,mfcc_delta_skew,mfcc_delta_kurtosis,mfcc_delta2_mean,mfcc_delta2_max,mfcc_delta2_min,mfcc_delta2_median,mfcc_delta2_std,mfcc_delta2_skew,mfcc_delta2_kurtosis,chroma_mean,chroma_min,chroma_max,chroma_median,chroma_std,chroma_skew,chroma_kurtosis,mel_mean,mel_max,mel_min,mel_median,mel_std,mel_skew,mel_kurtosis,contrast_mean,contrast_max,contrast_min,contrast_median,contrast_std,contrast_skew,contrast_kurtosis,centroid_mean,centroid_max,centroid_min,centroid_median,centroid_std,centroid_skew,centroid_kurtosis,roll_off_mean,roll_off_max,roll_off_min,roll_off_median,roll_off_std,roll_off_skew,roll_off_kurtosis,rms_mean,rms_max,rms_min,rms_median,rms_std,rms_skew,rms_kurtosis,zero_cr_mean,zero_cr_max,zero_cr_min,zero_cr_median,zero_cr_std,zero_cr_skew,zero_cr_kurtosis
03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,-13.957471,7.3467345,-40.358376,-13.22983,11.403927,-0.15890095,-0.2580569,-0.0070932535,4.2370176,-3.857493,0.0027158707,2.0433822,0.08758412,-0.44260535,-0.01444914,2.8781326,-3.0195034,-0.04702738,1.4046694,0.035215937,-0.36683747,0.4020553,0.026985424,1.0,0.32457814,0.29143664,0.67451996,-0.5808232,0.008900091,0.1233222,2.6143953e-06,0.0012992708,0.02222026,4.076669,18.595911,25.888151536190986,35.4670560853689,9.423422444852369,26.22655914612669,5.230811438356923,-0.5985457625926127,1.6761315385328968,1472.260906400909,3747.965206120109,581.0685076416883,1164.1080296432033,769.2649861313714,1.4546885665372171,1.1071180030674954,2719.069908405173,6037.109375,999.0234375,2325.68359375,1416.3979119897883,0.8991448152108763,-0.2899251797324278,0.005509902,0.012585219,0.00027525064,0.005531355,0.002970383,0.3713519,-0.32280493,0.0792783539870689,0.2412109375,0.0234375,0.052734375,0.0566014719135258,1.2820941024202088,0.4939338457482409
03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,-14.089419,8.214594,-38.95073,-13.870247,11.345738,-0.03978802,-0.32558814,0.00782223,4.1402736,-4.0419555,0.09240495,2.0605865,-0.06988855,-0.44286937,-0.021748906,2.8743215,-2.9771469,-0.058879055,1.4216608,0.035164595,-0.32198578,0.37044752,0.019657405,0.996738,0.28982824,0.29139856,0.8378685,-0.23998629,0.010221389,0.14501569,2.7251228e-06,0.0013338767,0.026238699,4.076192,18.674314,26.480159895242025,39.17690866441204,10.076842765085331,26.707704380595743,5.78117590117223,-0.3124522404409733,1.9403683369982216,1499.510117102757,3787.0062122126624,598.1277871865167,1270.2424065314383,777.8432296676743,1.461738272781278,1.2535055365064671,2844.858977754237,5918.9453125,1020.5078125,2588.8671875,1324.1896185388007,0.6930045193190255,-0.299615040432108,0.005844455,0.0130472025,0.00030409623,0.0055552074,0.0032262474,0.34897256,-0.5008218,0.0720256223516949,0.2138671875,0.021484375,0.05126953125,0.0501876713844534,1.2838699181856574,0.5363323221353697
03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,-13.454927,10.036692,-41.981976,-12.556394,12.230715,-0.10804272,-0.20667681,-0.0026162327,4.9921236,-4.306596,-0.034945503,2.3456218,0.105615675,-0.48118025,-0.044770487,2.9326572,-2.8746428,-0.1288105,1.3437595,0.019877937,-0.36609253,0.37286696,0.024858832,1.0,0.304296,0.28369156,0.83188057,-0.12307771,0.014090581,0.19297096,1.924749e-06,0.0019665814,0.035030097,3.9421391,17.637077,26.196528700298806,38.01922114021495,8.828306564809436,26.58037790690195,5.682560260203438,-0.4460009735468158,1.423545514454803,1550.3624747276692,4867.721735869566,537.3614171454366,1170.5505576240944,1025.4769725496103,1.981092824488009,2.9947958573286924,2807.2299299568967,6262.6953125,945.3125,2449.21875,1488.405490933147,0.9380287908289344,-0.1282060006951693,0.006790739,0.017972853,0.0003498812,0.005990876,0.0040392103,0.93720746,0.6132884,0.0904498922413793,0.42431640625,0.021484375,0.048095703125,0.0904722775433791,2.004433568419851,3.5277801462713407
03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,-13.550832,10.230623,-39.49329,-12.681353,12.133699,-0.03194136,-0.28559262,0.02642351,4.4877,-4.0247993,-0.05285003,2.2337537,0.016050313,-0.5252666,-0.027679551,2.9443128,-2.9107616,-0.017958635,1.4034817,-0.087634146,-0.49694744,0.3979682,0.03269505,1.0,0.31249034,0.28607473,0.8022477,-0.2973947,0.013257611,0.1717792,2.575075e-06,0.0018542078,0.032646835,3.7070513,15.421316,25.90804383079216,36.23096230272229,10.45424921333895,25.98218393983248,5.383962844733312,-0.3514306710495726,1.3939093280280268,1575.0849605103683,4695.050623753595,657.9665435926488,1253.9006470404915,1026.5552975808812,1.680424513508531,1.863304338628045,2872.65625,6241.2109375,923.828125,2588.8671875,1529.6248051982336,0.7742547894889542,-0.4863117276546207,0.0064604213,0.018385822,0.00044305177,0.0057124747,0.004125571,1.4510564,1.7455921,0.0923561789772727,0.40625,0.02197265625,0.046875,0.0927799983747408,1.669248887620125,1.9087725302607224
03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,-14.393763,9.301793,-42.401684,-13.5354,11.971065,-0.14824918,-0.12638386,0.007572034,4.9324636,-4.535771,-0.027088791,2.3570085,0.07907291,-0.36547822,-0.026025191,3.3818314,-3.2461047,-0.059478343,1.4032292,0.01241962,0.07664354,0.3904254,0.01867427,1.0,0.30633673,0.3035476,0.69432944,-0.6203072,0.0043422906,0.062086962,4.3207848e-07,0.00036731554,0.011395164,4.3281155,21.299206,25.759735163939236,38.18941883504105,9.543491715742062,25.593552011880213,5.475301001231214,-0.2148467604762906,1.8595774286408715,1592.5238913369146,4875.120209627636,569.9216855182809,1142.1638053118536,1052.15881229336,1.4540077370807742,1.144911749317389,2839.4670758928573,6413.0859375,956.0546875,2374.0234375,1655.64330712825,0.7487526674665115,-0.7696368199337495,0.0035856885,0.010987509,0.00028052172,0.0031440828,0.0024696535,1.0030714,0.64044356,0.0974679129464285,0.375,0.0205078125,0.051025390625,0.0908086219815878,1.588015017450402,1.5513300927613418
03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,-14.301173,9.745741,-40.263924,-13.673897,11.571401,-0.08738122,-0.08100729,-0.010451183,4.857845,-4.5944076,-0.010909003,2.3216016,0.043074124,-0.35575283,-0.007297623,2.9356074,-2.8509727,-0.014240441,1.2936871,-0.018894676,-0.17976125,0.40620086,0.024998082,1.0,0.33479497,0.29644734,0.6683731,-0.59042287,0.004525345,0.084901944,1.3784472e-06,0.00065355055,0.013629682,4.6520605,24.665728087780355,25.67951552370551,37.72133160377548,11.108395307679285,25.71485224248569,5.026965798292453,-0.1933046244876925,1.753777053919941,1385.0874584166777,4059.34738920388,513.0235390553923,1026.4879703660645,886.5397661220492,1.4830816278586592,1.1527190348773253,2557.356770833333,6284.1796875,687.5,1718.75,1641.1206416911743,0.993962918761145,-0.3958792946546237,0.0036213466,0.012936081,0.00036061974,0.0031259384,0.0025524076,1.7783024,3.5324574,0.07330078125,0.36572265625,0.01708984375,0.041015625,0.0705336402371994,1.9387658933341831,3.685765431950662
03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,-13.86161,10.055731,-41.762306,-13.131732,12.510918,-0.007190156,-0.27293238,-0.04047356,5.0553675,-4.652072,-0.13215998,2.3550656,0.10038893,-0.32571393,-0.023317283,3.2138782,-3.0927095,-0.056902558,1.3634238,-0.02892894,0.033166725,0.37078094,0.016907616,1.0,0.27141437,0.30587396,0.8304903,-0.48446319,0.008320103,0.11408476,2.992901e-06,0.0016552745,0.020106895,4.1531777,19.97852,26.457064870573124,37.255122545749664,10.053444980471156,26.40871526049516,5.225239945388379,-0.4035154293988939,1.4417922588585543,1563.0670520575095,5024.337307779813,520.8522339375377,1204.1257655718343,1159.15277947305,1.8975441450615076,2.4686629434361365,2723.3714788732395,6176.7578125,902.34375,2416.9921875,1559.779107542546,1.0139394998438802,-0.0961652612893702,0.005526843,0.011928016,0.000258676,0.0050150435,0.0028614986,0.3560672,-0.3549888,0.0946852992957746,0.45263671875,0.015625,0.05029296875,0.108705269953187,1.998444229847878,2.9507298203232333
03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,-13.52767,10.236261,-41.351936,-13.0150585,12.04447,0.037694395,-0.22144306,-0.030319411,4.9188733,-4.1511354,-0.2058044,2.2544506,0.114125684,-0.42781472,-0.024863843,3.0800166,-2.979575,-0.027761627,1.3319441,-0.014515291,-0.07182482,0.3634454,0.025337994,0.9971542,0.27678964,0.29977027,0.9141698,-0.19769716,0.0099905,0.11443602,8.0060386e-07,0.0023735142,0.021625593,4.0532928,19.047144,26.288173644002477,37.80300915963125,10.30661084725069,26.46111251558046,5.318162193777218,-0.4513672415128764,1.357606174955011,1447.4933577047482,4941.4460136358975,530.5889849227023,1101.688672567522,1028.6906353840047,2.099545956840919,3.739055094683561,2597.8968523550725,6391.6015625,827.1484375,2159.1796875,1521.8349404248268,1.1207174574627263,0.2250168084202197,0.0057682423,0.013089883,0.00026757747,0.005029692,0.00325338,0.65309477,-0.22591162,0.0817340353260869,0.43505859375,0.0185546875,0.04443359375,0.0918213843122369,2.4492137948412624,5.630605954840583
03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,-13.854451,8.683765,-38.086113,-13.20004,11.118265,-0.005311149,-0.37505758,-0.050222673,4.592031,-4.3591833,-0.09232894,2.1656535,-0.0211871,-0.26536393,-0.021399584,2.8645709,-2.9431236,0.0061248154,1.2538846,-0.07621437,-0.038872033,0.4233006,0.03523589,1.0,0.36427498,0.28568903,0.6319824,-0.4206369,0.002681736,0.031314317,1.3015836e-06,0.00079976174,0.0057904813,4.656967,24.665728087780355,25.702753500684956,38.01048838331938,11.613157247570998,25.629817557023703,5.10913813370239,-0.1270910763679391,1.518783967347773,1379.0509424820398,4173.216338524129,411.1227155545945,1089.3289865066115,853.1637637950988,1.7045676105858554,2.186406278268969,2532.7392578125,6413.0859375,429.6875,2245.1171875,1511.0892153590928,0.9958928697600476,-0.0118604975488261,0.0029854109,0.008056729,0.00016746698,0.0030135957,0.0016335201,0.95943004,1.5665417,0.066058349609375,0.2783203125,0.0126953125,0.03857421875,0.0590461152046259,1.6448866277076146,2.141936439229249
03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,-14.570686,8.987416,-39.94742,-14.211851,11.395166,0.042187437,-0.27676547,0.0031303614,4.8172555,-4.778268,0.03280422,2.2704775,-0.035145517,-0.4086302,-0.0068418,2.812622,-2.9685066,-0.006947413,1.266757,-0.12761688,-0.20169875,0.42067847,0.019348547,1.0,0.3549541,0.29039145,0.619435,-0.6362252,0.0029140827,0.04991904,1.4495431e-06,0.00041218108,0.008253872,4.902,28.130135,25.33237831638664,37.123015840004506,10.036482090683876,25.14398868666056,4.877305912403783,-0.2013346179898294,2.36170871182977,1645.6366362420838,4969.012433033444,510.09358729702296,1141.0406529802783,1168.1869287333227,1.490771306721654,1.2081417176990712,2823.709690824468,6531.25,623.046875,2352.5390625,1720.2732307865651,0.8069495133332647,-0.6547008127691476,0.0029435612,0.010385935,0.0002551761,0.0025178324,0.0020123038,1.5361029,3.2295146,0.103255900930851,0.4736328125,0.01611328125,0.050537109375,0.1125201128872197,1.9128383488395024,2.905971070245931
