filename,emotion,voice_intensity,statement,statement_repetition,actor_gender,mfcc_mean,mfcc_median,mfcc_std,mfcc_skew,mfcc_kurtosis,mfcc_delta_mean,mfcc_delta_median,mfcc_delta_std,mfcc_delta_skew,mfcc_delta_kurtosis,mfcc_delta2_mean,mfcc_delta2_median,mfcc_delta2_std,mfcc_delta2_skew,mfcc_delta2_kurtosis,chroma_mean,chroma_median,chroma_std,chroma_skew,chroma_kurtosis,mel_mean,mel_max,mel_min,mel_median,mel_std,mel_skew,centroid_mean,centroid_max,centroid_min,centroid_median,centroid_std,centroid_skew,centroid_kurtosis,roll_off_mean,roll_off_max,roll_off_min,roll_off_median,roll_off_std,roll_off_skew,roll_off_kurtosis,rms_mean,rms_max,rms_min,rms_median,rms_std,rms_skew,rms_kurtosis
03-01-01-01-01-01-01_part_a.wav,1,1,1,1,1,-20.039042,-21.98593,8.943871,-0.8423998,4.5244613,0.2816557,7.6279016e-17,1.7761295,-0.78498596,0.58123195,0.05512588,1.0811022e-15,0.73313063,-0.62201726,1.8896862,0.4718088,0.53020424,0.32514414,-0.25583598,-1.2117883,0.0019287347,0.044007752,0.0,2.7258515e-10,0.0081653595,4.300378,3104.732464452571,6098.114866946048,0.0,3810.928490186001,1802.8952829773266,-0.6079984878351726,-0.5706878570807508,5135.9375,7179.6875,0.0,6664.0625,2708.0210871973204,-1.2227080164761168,-0.300766451278637,0.00079816004,0.008962072,0.0,2.0230486e-06,0.002332604,2.980006,7.0864105
03-01-01-01-01-02-01_part_a.wav,1,1,1,2,1,-19.030138,-20.446014,8.444662,-0.74415696,3.494124,0.26976055,0.10018662,1.362099,-0.6580401,0.22696503,0.079461336,-0.0331886,0.8486018,-0.32809287,0.8688285,0.69051176,0.7447536,0.22518164,-0.8519704,0.049702186,0.0014218306,0.04178042,6.486624e-11,1.3315808e-08,0.007082888,4.8319616,3403.1802946907706,4647.829994340284,1395.6143539738762,3447.751471220073,589.2906532284081,-1.4209562967270646,4.232127380774287,6105.803571428572,6937.5,3195.3125,6429.6875,849.1135388259935,-1.9455360315137828,3.423132036176134,0.00067650207,0.008686133,9.536743e-07,8.609519e-06,0.0020959543,3.3058124,9.427745
03-01-01-01-02-01-01_part_a.wav,1,1,2,1,1,-19.765087,-21.552797,8.970578,-0.55558026,3.491428,0.26827365,-0.16937649,1.6747453,-0.3941316,0.39451972,0.06362342,-0.031487297,0.6639151,-0.2721691,0.91537607,0.65538895,0.6736923,0.210312,-0.30040535,0.07462258,0.0016983884,0.031208161,2.7443886e-10,8.746641e-09,0.006347277,3.8527012,3182.054241018668,4055.573616389438,1320.9540014468253,3395.497218122642,726.2644966638484,-1.5440485585776016,1.407623392863945,5989.0625,7054.6875,2851.5625,6359.375,1114.0451248394616,-1.9591808803406725,2.488344348900477,0.00082138675,0.007885804,2.523185e-06,9.047349e-06,0.0022440385,2.6013718,5.0341682
03-01-01-01-02-02-01_part_a.wav,1,1,2,2,1,-20.280346,-21.456026,8.727392,-0.53689706,2.22032,0.3055095,-0.023970027,1.6938984,-0.31384736,-0.3659607,0.106038615,0.031601343,0.7268453,-0.17754127,0.07626176,0.6663985,0.708826,0.22008479,-0.44135693,-0.68923545,0.0013615986,0.026539084,1.7038215e-11,1.4000792e-08,0.0053788675,3.8945127,3145.9823985496987,3999.9999774154276,1222.7566727239534,3081.3280405748956,656.7217736476023,-1.1230894386161827,1.5136376924173192,5966.452205882353,6804.6875,2453.125,6125.0,975.0439100994233,-2.2509015964073518,4.953128996361632,0.000665661,0.006921544,6.7434956e-07,1.1808426e-05,0.001963624,2.8194277,6.085676
03-01-02-01-01-01-01_part_a.wav,2,1,1,1,1,-20.676937,-22.55885,9.133467,-0.64138556,5.1620493,0.23298967,-0.064632595,1.581011,-0.46956784,0.8246487,0.04326315,-0.0025610267,0.72904986,-0.38092405,2.0647912,0.6219643,0.64865524,0.26440436,-0.5872707,-0.17097683,0.0015334741,0.029786281,0.0,1.6095751e-09,0.005960259,4.0638247,3317.9921495442627,4000.0000081490725,0.0,3449.3656871422972,845.5498096481969,-2.2432329409127316,5.116346024222917,5987.753378378378,7117.1875,0.0,6351.5625,1386.9315662028184,-2.779845226545064,7.883056268286261,0.0007799378,0.008363319,0.0,4.2649613e-06,0.0021633115,2.8370888,6.5305786
03-01-02-01-01-02-01_part_a.wav,2,1,1,2,1,-20.244553,-21.991344,10.292191,-0.7710059,4.6788006,0.252366,-0.01489141,1.6805178,-0.52653474,0.94885767,-0.029245123,0.0015455676,0.7947957,-0.31946397,2.5755286,0.63339335,0.6904476,0.2651751,-0.75958323,-0.18658315,0.0034429631,0.059671905,0.0,5.6101346e-10,0.01194385,3.7449417,3318.8839623393915,4072.027578190983,0.0,3568.9611899366155,927.076090401422,-1.9424546120392598,3.19541998455795,5981.496710526316,7335.9375,0.0,6550.78125,1519.5298452636835,-2.3030775079283234,4.9726998699516125,0.00134831,0.011384107,0.0,2.7389065e-06,0.0032927585,2.312679,3.6354856
03-01-02-01-01-02-01_part_c.wav,2,1,1,2,1,-19.760334,-21.87997,11.018363,-0.42588535,0.81206435,-0.31087178,-0.45224437,1.2795233,0.23174706,-0.18303594,0.0903707,0.122773886,0.7249529,0.00998801,0.32714537,0.55393815,0.6160553,0.31752336,-0.38462853,-0.9408663,0.00038825837,0.0051504327,0.0,1.9637056e-08,0.001122636,3.6364927,2310.5642948493587,4018.691735065914,0.0,2250.4264074082344,1357.9479729428283,-0.18383844942709243,-1.3942641975179013,4306.743421052632,6867.1875,0.0,5335.9375,2495.2415936680086,-0.43806664947299184,-1.470270909069663,0.00057850475,0.003339705,0.0,1.1518027e-05,0.0010337795,1.6055645,0.97765326
03-01-02-01-02-01-01_part_a.wav,2,1,2,1,1,-19.965343,-22.736025,11.707827,-0.63755953,2.142212,0.40655956,0.09975241,2.0067163,-0.5682626,0.15079229,0.03844283,0.092918016,1.0188246,-0.2741735,1.2017597,0.67198676,0.750045,0.26536152,-0.67909384,-0.53987867,0.00396724,0.058971316,3.9674054e-12,3.337353e-09,0.012415031,3.4107995,3339.6658658362153,4913.59488351263,1149.4745596294465,3664.0246409899646,1024.6735203548674,-1.1090684355178366,0.22376556758701627,5935.177364864865,7062.5,2171.875,6593.75,1521.0874598447458,-1.6804734043888483,1.100852752913604,0.0015616404,0.011514115,9.536743e-07,5.6420135e-06,0.0035135401,2.0041776,2.2818208
03-01-02-01-02-01-01_part_c.wav,2,1,2,1,1,-19.255013,-20.375355,10.178086,-0.5676344,0.8515245,-0.3691435,-0.53173363,1.1905177,0.37383097,-0.12941383,0.05187159,-0.01918751,0.68514174,0.2130667,0.42612043,0.62694824,0.6810875,0.263571,-0.6343983,-0.40002403,0.0004201326,0.0053457045,1.8033879e-13,4.90988e-08,0.0012175031,3.4555817,2576.282512647345,4000.615654359962,707.4454361328412,3003.8785262106558,1155.6220054266414,-0.34672599025809786,-1.2794992142411452,4901.393581081081,6835.9375,1054.6875,6046.875,2124.929629939013,-0.8225491512929191,-0.9878511118081756,0.0005563346,0.0036259233,9.536743e-07,1.6226482e-05,0.001073933,1.8344707,1.8153195
03-01-02-01-02-02-01_part_a.wav,2,1,2,2,1,-19.283115,-21.403477,10.418811,-1.1363738,3.9057975,0.38962024,0.033356734,1.810426,-0.6710893,0.39601645,-0.029652078,-0.013564132,0.8461911,-0.07470657,1.7452819,0.70499843,0.7550648,0.22864032,-0.8234861,-0.08927854,0.0042727347,0.05956339,1.5100247e-10,6.0730763e-09,0.013001604,3.3766754,3073.3065950729983,4388.724611618699,1090.3351375058828,3279.43296222864,889.7724545573556,-1.1120699521509338,0.2759430361120123,5779.138513513513,7164.0625,2242.1875,6351.5625,1467.6024402190735,-1.5418606281366654,0.7850343351296609,0.001570855,0.012218837,1.9073486e-06,8.035802e-06,0.0036378214,2.0726194,2.5739884
